request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_57,12819.59,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Wait until 15 June 2026, then pay ZAR 61446 in full. Paying earlier would take the balance below the ZAR 42700 minimum."
request_58,14943838.93,affordable_with_plan,full_payment,2024-12-07:16226000,,stop:event_5358,"Stop the community fitness plan, then pay IDR 16226000 today. This leaves at least IDR 14433900 available."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48741.33, starting 7 May 2025. This leaves at least INR 132600 available."
request_60,0,not_affordable,not_recommended,none,,none,Do not make this payment by 4 March 2026. None of the available options keeps the USD 400 minimum protected.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 17 March 2024. This leaves at least ZAR 36700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. This leaves at least USD 1300 available over the next 90 days.
request_63,45295.06,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343900 request. Although INR 45295.06 is available today, the full amount cannot be completed safely within 90 days."
request_64,0,not_affordable,not_recommended,none,,none,Do not make this payment by 16 August 2024. None of the available options keeps the INR 36100 minimum protected.
request_65,5886.72,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54340 request. Although ZAR 5886.72 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today. This leaves at least INR 80700 available over the next 90 days.
request_67,300.77,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Wait until 15 November 2024, then pay USD 2094 in full. Paying earlier would take the balance below the USD 1200 minimum."
request_68,1333.62,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-15,none,"Use 3 installments of USD 725.09, starting 14 February 2025. This leaves at least USD 1500 available."
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,50476.80,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 243900 request. Although INR 50476.80 is available today, the full amount cannot be completed safely within 90 days."
request_71,572154.47,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21451000 request. Although IDR 572154.47 is available today, the full amount cannot be completed safely within 90 days."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330 today. This leaves at least ZAR 12200 available over the next 90 days.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today. This leaves at least INR 103200 available over the next 90 days.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today. This leaves at least ZAR 21900 available over the next 90 days.
request_75,13211.67,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 28270 request. Although ZAR 13211.67 is available today, the full amount cannot be completed safely within 90 days."
request_76,717.14,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 4455.60 request. Although USD 717.14 is available today, the full amount cannot be completed safely within 90 days."
request_77,59542.65,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 60700 request. Although INR 59542.65 is available today, the full amount cannot be completed safely within 90 days."
request_78,12703.64,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 50200 request. Although INR 12703.64 is available today, the full amount cannot be completed safely within 90 days."
request_79,313.14,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2151.60 request. Although EUR 313.14 is available today, the full amount cannot be completed safely within 90 days."
request_80,110008.68,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 217500 request. Although INR 110008.68 is available today, the full amount cannot be completed safely within 90 days."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 today. This leaves at least USD 1600 available over the next 90 days.
request_82,313.89,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,"Wait until 15 February 2025, then pay USD 1405.20 in full. Paying earlier would take the balance below the USD 1100 minimum."
request_83,7244.95,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 156200 request. Although INR 7244.95 is available today, the full amount cannot be completed safely within 90 days."
request_84,33412.62,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Wait until 15 June 2026, then pay INR 95400 in full. Paying earlier would take the balance below the INR 91300 minimum."
request_85,690584.49,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19304000 request. Although IDR 690584.49 is available today, the full amount cannot be completed safely within 90 days."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 today. This leaves at least INR 84900 available over the next 90 days.
request_87,16918.39,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 487900 request. Although INR 16918.39 is available today, the full amount cannot be completed safely within 90 days."
request_88,10735.77,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 26092 request. Although ZAR 10735.77 is available today, the full amount cannot be completed safely within 90 days."
request_89,9392480.17,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 13756000 request. Although IDR 9392480.17 is available today, the full amount cannot be completed safely within 90 days."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today. This leaves at least ZAR 7600 available over the next 90 days.
request_91,482.20,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Wait until 15 November 2024, then pay EUR 1927.20 in full. Paying earlier would take the balance below the EUR 2100 minimum."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 today. This leaves at least ZAR 28100 available over the next 90 days.
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Pay USD 1729.20 today. This leaves at least USD 1900 available over the next 90 days.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,4648.03,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553000 request. Although INR 4648.03 is available today, the full amount cannot be completed safely within 90 days."
request_96,72758.97,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 90200 request. Although INR 72758.97 is available today, the full amount cannot be completed safely within 90 days."
request_97,1599.79,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8145.28, starting 19 March 2024. This leaves at least ZAR 29700 available."
request_98,0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 October 2025. None of the available options keeps the ZAR 30000 minimum protected.
request_99,17445.43,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,stop:event_9188,"Stop the family streaming plan, then pay ZAR 18062 today. This leaves at least ZAR 49100 available."
request_100,25169.04,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 37114 request. Although ZAR 25169.04 is available today, the full amount cannot be completed safely within 90 days."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today. This leaves at least INR 187400 available over the next 90 days.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available."
request_103,2146.56,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368300 request. Although INR 2146.56 is available today, the full amount cannot be completed safely within 90 days."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 today. This leaves at least ZAR 24700 available over the next 90 days.
request_105,18405.24,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 53500 request. Although INR 18405.24 is available today, the full amount cannot be completed safely within 90 days."
request_106,463.22,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Wait until 15 February 2025, then pay EUR 2207.70 in full. Paying earlier would take the balance below the EUR 1200 minimum."
request_107,520.07,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2534.40 request. Although EUR 520.07 is available today, the full amount cannot be completed safely within 90 days."
request_108,1717.39,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 55308 request. Although ZAR 1717.39 is available today, the full amount cannot be completed safely within 90 days."
request_109,570.48,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 1700 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 6 August 2025. This leaves at least ZAR 11200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today. This leaves at least IDR 23022800 available over the next 90 days.
request_112,271.70,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
request_113,19576.63,affordable_later,wait,2026-10-15:36500,2026-10-15,none,"Wait until 15 October 2026, then pay INR 36500 in full. Paying earlier would take the balance below the INR 82300 minimum."
request_114,20570.81,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 65300 request. Although INR 20570.81 is available today, the full amount cannot be completed safely within 90 days."
request_115,14648.43,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 80500 request. Although INR 14648.43 is available today, the full amount cannot be completed safely within 90 days."
request_116,9179.83,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241200 request. Although INR 9179.83 is available today, the full amount cannot be completed safely within 90 days."
request_117,859.11,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,stop:event_10833,"Stop the family streaming plan, then pay EUR 880 today. This leaves at least EUR 1000 available."
request_118,649.88,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 738.10 request. Although EUR 649.88 is available today, the full amount cannot be completed safely within 90 days."
request_119,59410.40,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 203500 request. Although INR 59410.40 is available today, the full amount cannot be completed safely within 90 days."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today. This leaves at least IDR 20050300 available over the next 90 days.
request_121,446.22,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 633.60 request. Although USD 446.22 is available today, the full amount cannot be completed safely within 90 days."
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 5 August 2025. This leaves at least IDR 12588500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 today. This leaves at least IDR 18091200 available over the next 90 days.
request_124,1452.45,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3104.20 request. Although EUR 1452.45 is available today, the full amount cannot be completed safely within 90 days."
request_125,0,not_affordable,not_recommended,none,,none,Do not make this payment by 14 November 2025. None of the available options keeps the ZAR 11300 minimum protected.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 today. This leaves at least INR 129700 available over the next 90 days.
request_127,7420.91,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Wait until 15 October 2024, then pay ZAR 23980 in full. Paying earlier would take the balance below the ZAR 41000 minimum."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 today. This leaves at least ZAR 42600 available over the next 90 days.
request_129,111.57,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2668.80 request. Although USD 111.57 is available today, the full amount cannot be completed safely within 90 days."
request_130,373.31,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Wait until 15 February 2025, then pay USD 1978.80 in full. Paying earlier would take the balance below the USD 1400 minimum."
request_131,1134.43,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-15,none,"Use 3 installments of USD 643.14, starting 6 May 2025. This leaves at least USD 1100 available."
request_132,0,not_affordable,not_recommended,none,,none,Do not make this payment by 25 February 2026. None of the available options keeps the USD 1100 minimum protected.
request_133,15770000,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 15770000 request. Although IDR 15770000 is available today, the full amount cannot be completed safely within 90 days."
request_134,0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 October 2025. None of the available options keeps the IDR 15902500 minimum protected.
request_135,283.19,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,stop:event_12413,"Stop the video streaming plan, then pay USD 304.80 today. This leaves at least USD 500 available."
request_136,528.50,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,"reduce the household shopping to USD 27.20, then pay USD 560.40 today. This leaves at least USD 1100 available."
request_137,24172.14,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 80100 request. Although INR 24172.14 is available today, the full amount cannot be completed safely within 90 days."
request_138,860.56,affordable_with_plan,partial_payment,2026-04-07:860.56|2026-04-15:396.38,2026-04-15,none,Pay EUR 860.56 today and the remaining EUR 396.38 on 15 April 2026. This completes the full request and keeps the EUR 2300 minimum protected.
request_139,1329.41,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2316 request. Although USD 1329.41 is available today, the full amount cannot be completed safely within 90 days."
request_140,1428.81,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62832 request. Although ZAR 1428.81 is available today, the full amount cannot be completed safely within 90 days."
request_141,0,not_affordable,not_recommended,none,,none,Do not make this payment by 12 February 2026. None of the available options keeps the INR 67300 minimum protected.
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Pay USD 1263.60 today. This leaves at least USD 1700 available over the next 90 days.
request_143,0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 July 2025. None of the available options keeps the ZAR 11300 minimum protected.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600 available over the next 90 days.
request_145,27650.10,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 217400 request. Although INR 27650.10 is available today, the full amount cannot be completed safely within 90 days."
request_146,16037.09,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449400 request. Although INR 16037.09 is available today, the full amount cannot be completed safely within 90 days."
request_147,477.46,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63, starting 8 April 2026. This leaves at least EUR 900 available."
request_148,677.39,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 22242 request. Although ZAR 677.39 is available today, the full amount cannot be completed safely within 90 days."
request_149,24908.46,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12706.03, starting 18 November 2025. This leaves at least ZAR 42100 available."
request_150,0,not_affordable,not_recommended,none,,none,Do not make this payment by 16 March 2026. None of the available options keeps the EUR 700 minimum protected.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today. This leaves at least IDR 31633600 available over the next 90 days.
request_152,11084.90,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 13882 request. Although ZAR 11084.90 is available today, the full amount cannot be completed safely within 90 days."
request_153,68.65,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2830.80 request. Although USD 68.65 is available today, the full amount cannot be completed safely within 90 days."
request_154,1625.80,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1625.80 request. Although EUR 1625.80 is available today, the full amount cannot be completed safely within 90 days."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay INR 112500 today. This leaves at least INR 56300 available over the next 90 days.
request_156,9491.14,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Wait until 15 June 2026, then pay ZAR 43076 in full. Paying earlier would take the balance below the ZAR 26900 minimum."
request_157,5174330.12,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Wait until 15 May 2024, then pay IDR 23503000 in full. Paying earlier would take the balance below the IDR 15714100 minimum."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 7 August 2025. This leaves at least INR 131400 available."
request_159,3943.10,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 13398 request. Although ZAR 3943.10 is available today, the full amount cannot be completed safely within 90 days."
request_160,569.52,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1200 available."
request_161,0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 January 2026. None of the available options keeps the IDR 23010400 minimum protected.
request_162,1255094.80,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83923000 request. Although IDR 1255094.80 is available today, the full amount cannot be completed safely within 90 days."
request_163,8809583.38,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19304000 request. Although IDR 8809583.38 is available today, the full amount cannot be completed safely within 90 days."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9366240, starting 11 February 2025. This leaves at least IDR 29550500 available."
request_165,68752.32,affordable_with_plan,full_payment,2026-04-06:80600,,stop:event_15135|reduce_to:event_15136:1048,"Stop the video streaming plan and reduce the online retail purchases to INR 1048, then pay INR 80600 today. This leaves at least INR 95000 available."
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 3 December 2024. This leaves at least USD 1700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 today. This leaves at least ZAR 31200 available over the next 90 days.
request_168,0,not_affordable,not_recommended,none,,none,Do not make this payment by 16 March 2026. None of the available options keeps the INR 114400 minimum protected.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 today. This leaves at least ZAR 18700 available over the next 90 days.
request_170,16051646,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 36936000 request. Although IDR 16051646 is available today, the full amount cannot be completed safely within 90 days."
request_171,33.02,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1878.80 request. Although EUR 33.02 is available today, the full amount cannot be completed safely within 90 days."
request_172,9077.61,affordable_with_plan,partial_payment,2024-06-05:9077.61|2024-06-15:1122.39,2024-06-15,none,Pay ZAR 9077.61 today and the remaining ZAR 1122.39 on 15 June 2024. This completes the full request and keeps the ZAR 27200 minimum protected.
request_173,0,not_affordable,not_recommended,none,,none,Do not make this payment by 17 January 2026. None of the available options keeps the INR 79100 minimum protected.
request_174,1075.32,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1146.20 request. Although EUR 1075.32 is available today, the full amount cannot be completed safely within 90 days."
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,Pay EUR 2346.30 today. This leaves at least EUR 1700 available over the next 90 days.
request_176,367,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1239.70 request. Although EUR 367 is available today, the full amount cannot be completed safely within 90 days."
request_177,799.75,affordable_with_plan,full_payment,2026-01-05:1017.60,,reduce_to:event_16317:32,"reduce the takeaway order to USD 32, then pay USD 1017.60 today. This leaves at least USD 1300 available."
request_178,2938.10,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 7 December 2024. This leaves at least EUR 1400 available."
request_179,0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 July 2025. None of the available options keeps the IDR 41430800 minimum protected.
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500 today. This leaves at least INR 37300 available over the next 90 days.
request_181,412.69,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 5059.20 request. Although USD 412.69 is available today, the full amount cannot be completed safely within 90 days."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 today. This leaves at least ZAR 31100 available over the next 90 days.
request_183,22982284.10,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-15,none,"Use 3 installments of IDR 9313546.67, starting 10 April 2026. This leaves at least IDR 11878300 available."
request_184,11954.15,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 251900 request. Although INR 11954.15 is available today, the full amount cannot be completed safely within 90 days."
request_185,309.85,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1257.30 request. Although EUR 309.85 is available today, the full amount cannot be completed safely within 90 days."
request_186,0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 March 2026. None of the available options keeps the ZAR 22000 minimum protected.
request_187,37844.44,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"Wait until 15 November 2024, then pay INR 187500 in full. Paying earlier would take the balance below the INR 128300 minimum."
request_188,27.90,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2464 request. Although EUR 27.90 is available today, the full amount cannot be completed safely within 90 days."
request_189,488.40,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400 available over the next 90 days.
request_190,554.49,affordable_later,wait,2025-02-15:2557.50,2025-02-15,none,"Wait until 15 February 2025, then pay EUR 2557.50 in full. Paying earlier would take the balance below the EUR 1600 minimum."
request_191,664.40,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500 available over the next 90 days.
request_192,107.83,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2046 request. Although USD 107.83 is available today, the full amount cannot be completed safely within 90 days."
request_193,65.84,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-15,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. This leaves at least EUR 1000 available."
request_194,33083.28,affordable_later,wait,2025-10-15:132800,2025-10-15,none,"Wait until 15 October 2025, then pay INR 132800 in full. Paying earlier would take the balance below the INR 113600 minimum."
